"店名","住所","URL","タイプ","備考","LocName","fX","fY","iConf","iLvl"
焼酎屋 童 水道橋店,東京都千代田区三崎町2-19-4 三崎町M・Kビル2F,http://search.daisyo.co.jp/shop.php?shop_cd=4248,釣りパック,,"東京都/千代田区/三崎町/二丁目/１９番","139.75262","35.70155","5","7"
大福水産 三軒茶屋店,東京都世田谷区太子堂4-22-5 ホームズ三軒茶屋駅前ビルB1,http://search.daisyo.co.jp/shop.php?shop_cd=1770,釣りパック,,"東京都/世田谷区/太子堂/四丁目/２２番","139.67018","35.64369","5","7"
浜の母や 赤坂通り店,東京都港区赤坂3-13-7 サクセス赤坂ビルB1,http://search.daisyo.co.jp/shop.php?shop_cd=4281,釣りパック,,"東京都/港区/赤坂/三丁目/１３番","139.73750","35.67313","5","7"
焼酎屋 童 船堀店,東京都江戸川区船堀4-2-6 船堀伊藤ビル2F,http://search.daisyo.co.jp/shop.php?shop_cd=4424,釣りパック,,"東京都/江戸川区/船堀/四丁目/２番","139.86562","35.68481","5","7"
浜の母や 船堀店,東京都江戸川区船堀3-7-11 矢島ビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4402,釣りパック,,"東京都/江戸川区/船堀/三丁目/７番","139.86511","35.68308","5","7"
大福水産 小岩店,東京都江戸川区西小岩1-25-10 よし甚ビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4425,釣りパック,,"東京都/江戸川区/西小岩/一丁目/２５番","139.88138","35.73427","5","7"
庄や　飯田橋西口店,東京都千代田区富士見2-3-7 山田ビル1・2階,http://search.daisyo.co.jp/shop.php?shop_cd=1022,釣りパック,,"東京都/千代田区/富士見/二丁目/３番","139.74547","35.69968","5","7"
庄や　神田南口店,東京都千代田区鍛冶町2-13-10,http://search.daisyo.co.jp/shop.php?shop_cd=1101,釣りパック,,"東京都/千代田区/鍛冶町/二丁目/１３番","139.77112","35.69225","5","7"
立ち呑み　呑んき　丸の内北口店,東京都千代田区丸の内1-7-8 東京駅構内 味の散歩道,http://search.daisyo.co.jp/shop.php?shop_cd=1701,釣りパック,,"東京都/千代田区/丸の内/一丁目/７番","139.76825","35.68360","5","7"
讃岐茶屋　八重洲店,東京都中央区八重洲1-7-6 青山ファイナンスビル1階,http://search.daisyo.co.jp/shop.php?shop_cd=4719,釣りパック,,"東京都/中央区/八重洲/一丁目/７番","139.77025","35.68098","5","7"
日本海庄や　田原町店,東京都台東区雷門1-5-5 上條ビル地下1・1階,http://search.daisyo.co.jp/shop.php?shop_cd=1434,釣りパック,,"東京都/台東区/雷門/一丁目/５番","139.79277","35.70990","5","7"
庄や　茗荷谷店,東京都文京区小石川5-4-4 すみれビル1階,http://search.daisyo.co.jp/shop.php?shop_cd=1127,釣りパック,,"東京都/文京区/小石川/五丁目/４番","139.73819","35.71726","5","7"
日本海庄や　茗荷谷店,東京都文京区小日向4-6-8 茗荷谷駅ＭFビル地下1階,http://search.daisyo.co.jp/shop.php?shop_cd=1265,釣りパック,,"東京都/文京区/小日向/四丁目/６番","139.73717","35.71729","5","7"
やるき茶屋　業平橋店,東京都墨田区向島1-33-9 アサヒビール業平橋ビル1階,http://search.daisyo.co.jp/shop.php?shop_cd=5074,釣りパック,,"東京都/墨田区/向島/一丁目/３３番","139.80849","35.71050","5","7"
庄や　大山店,東京都板橋区大山東町58-1,http://search.daisyo.co.jp/shop.php?shop_cd=1010,釣りパック,,"東京都/板橋区/大山東町/５８番","139.70294","35.74920","5","7"
庄や　ときわ台店,東京都板橋区南常盤台1-26-13 小藤田ビル1階,http://search.daisyo.co.jp/shop.php?shop_cd=1055,釣りパック,,"東京都/板橋区/南常盤台/一丁目/２６番","139.69089","35.75803","5","7"
庄や・うたうんだ村　上板橋店,東京都板橋区上板橋1-13-19 GAビル,http://search.daisyo.co.jp/shop.php?shop_cd=1620,釣りパック,,"東京都/板橋区/上板橋/一丁目/１３番","139.67680","35.76257","5","7"
日本海庄や　氷川台店,東京都練馬区氷川台3-39-7 ミリオンアネックス氷川台1階,http://search.daisyo.co.jp/shop.php?shop_cd=1702,釣りパック,,"東京都/練馬区/氷川台/三丁目/３９番","139.66516","35.75023","5","7"
庄や　平和台北口店,東京都練馬区北町6-32-36 アクロス平和台ビル2階,http://search.daisyo.co.jp/shop.php?shop_cd=1219,釣りパック,,"東京都/練馬区/北町/六丁目/３２番","139.65187","35.75867","5","7"
庄や　池袋西口店,東京都豊島区西池袋1-37-16 池袋西口ビル地下1～4階,http://search.daisyo.co.jp/shop.php?shop_cd=1025,釣りパック,,"東京都/豊島区/西池袋/一丁目/３７番","139.70906","35.73229","5","7"
日本海庄や　池袋北口店,東京都豊島区西池袋1-42-7 池袋東栄ビル地下1～3階,http://search.daisyo.co.jp/shop.php?shop_cd=1465,釣りパック,,"東京都/豊島区/西池袋/一丁目/４２番","139.71065","35.73290","5","7"
日本海庄や　ヤマダ電機LABI1池袋店,東京都豊島区東池袋1-5-7 LABI1池袋7階,http://search.daisyo.co.jp/shop.php?shop_cd=1720,釣りパック,,"東京都/豊島区/東池袋/一丁目/５番","139.71361","35.73090","5","7"
やるき茶屋　池袋西口店,東京都豊島区西池袋1-15-7 吉大ビル地下1階,http://search.daisyo.co.jp/shop.php?shop_cd=5026,釣りパック,,"東京都/豊島区/西池袋/一丁目/１５番","139.70961","35.73046","5","7"
やるき茶屋　目白店,東京都豊島区目白3-5-15 目白共同ビル2階,http://search.daisyo.co.jp/shop.php?shop_cd=5134,釣りパック,,"東京都/豊島区/目白/三丁目/５番","139.70494","35.72217","5","7"
大庄水産　池袋店,東京都豊島区東池袋1-30-1 スポルト1階,http://search.daisyo.co.jp/shop.php?shop_cd=1808,釣りパック,,"東京都/豊島区/東池袋/一丁目/３０番","139.71646","35.73118","5","7"
大福水産 浦安店,千葉県浦安市北栄1-15-12 浦安臼倉ビル2F,http://search.daisyo.co.jp/shop.php?shop_cd=1775,釣りパック,,"千葉県/浦安市/北栄/一丁目/１５番","139.89407","35.66549","5","7"
焼酎屋 童 相模大野店,"神奈川県相模原市南区相模大野3-15-17 東新相模大野ビル5,6F",http://search.daisyo.co.jp/shop.php?shop_cd=4415,釣りパック,,"神奈川県/相模原市/南区/相模大野/三丁目/１５番","139.43600","35.53296","5","7"
大福水産 相模大野店,"神奈川県相模原市南区相模大野3-15-17 東新相模大野ビル1,2F",http://search.daisyo.co.jp/shop.php?shop_cd=4415,釣りパック,,"神奈川県/相模原市/南区/相模大野/三丁目/１５番","139.43600","35.53296","5","7"
大福水産 武蔵新城店,神奈川県川崎市中原区上新城2-11-10,http://search.daisyo.co.jp/shop.php?shop_cd=4421,釣りパック,,"神奈川県/川崎市/中原区/上新城/二丁目/１１番","139.62932","35.58735","5","7"
大福水産 関内店,神奈川県横浜市中区常盤町1-2 関内SEビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4420,釣りパック,,"神奈川県/横浜市/中区/常盤町/一丁目/２番地","139.63889","35.44500","5","7"
浜の母や 衣笠店,神奈川県横須賀市衣笠栄町1-70 加賀屋ビルB1,http://search.daisyo.co.jp/shop.php?shop_cd=4290,釣りパック,,"神奈川県/横須賀市/衣笠栄町/一丁目/７０番地","139.66351","35.25658","5","7"
