海岸名,住所,県名,地域名,釣れる魚,緯度,経度,トイレ,駐車場,注意事項
末広水際線プロムナード,横浜市鶴見区末広町,神奈川県,東京湾,"マハゼ, アナゴ, シロギス, カレイ, イワシ, サッパ, ウミタナゴ, サヨリ, スズキ, ヒイカ",35.48849,139.68468,あり,あり（有料）,投げ釣り禁止。ふれ～ゆの駐車場は1時間200円
須賀港（平塚港）,平塚市千石河岸,神奈川県,湘南,"マハゼ, ヒイラギ, スズキ",35.31748,139.36409,あり,なし,
高磯,三浦市南下浦町松輪,神奈川県,三浦半島,"メジナ, クロダイ, メバル, ウミタナゴ, アジ, スズキ",35.14702,139.67067,なし,あり（有料）,
大黒海づり施設,横浜市鶴見区大黒ふ頭,神奈川県,東京湾,"アジ, イワシ, サッパ, マハゼ, メゴチ, シロギス, カレイ, メバル, クロダイ, シリヤケイカ",35.46225,139.68285,あり,あり（有料）,大人900円、中学生450円、小学生300円。竿は2本までなど
茅ヶ崎海岸,茅ヶ崎市東海岸南、菱沼海岸,神奈川県,湘南,"シロギス, イシモチ, ワカシ, クロダイ, メジナ",35.32228,139.40726,あり,あり,
ちどり公園,川崎市川崎区千鳥町,神奈川県,東京湾,"メバル, スズキ, シロギス, カレイ, メゴチ",35.51695,139.75746,あり,あり（無料）,釣り禁止（ちどり公園は釣り禁止となりました。この周辺で釣りをする場合は、東扇島西公園などが推奨されています。）
対石,足柄下郡真鶴町真鶴,神奈川県,真鶴半島,"メジナ, クロダイ, イシダイ",35.15475,139.13829,なし,あり（無料）,
佃嵐崎,横須賀市長井,神奈川県,三浦半島,"メジナ, メバル, ムラソイ, カサゴ",35.2052,139.62987,なし,なし,
剱崎,三浦市南下浦町松輪,神奈川県,三浦半島,"メジナ, クロダイ, メバル, アジ, イワシ, ウミタナゴ",35.14702,139.67067,あり,あり（有料）1000円,
D突堤・第一新堤,横浜市中区本牧ふ頭,神奈川県,東京湾,"クロダイ, メバル, アイナメ, カサゴ, シロギス, カレイ",35.44,139.67616,なし,なし,
燈明崎,横須賀市西浦賀,神奈川県,三浦半島,"メバル, シロギス, カレイ, アイナメ, カサゴ",35.23919,139.72,あり,あり（有料）,
トンビ磯,三浦郡葉山町下山口,神奈川県,三浦半島,"ウミタナゴ, メバル, シロギス, メゴチ, ハゼ, カレイ, メジナ, クロダイ, アジ",35.26028,139.58458,あり,あり（有料）,
長井港,横須賀市長井,神奈川県,三浦半島,"シロギス, メゴチ, マハゼ, メバル, メジナ, ウミタナゴ, アジ, マダイ, アオリイカ",35.2052,139.62987,あり,あり,
長井護岸,横須賀市長井,神奈川県,三浦半島,"シロギス, カレイ, ハゼ, メバル, アイナメ, ウミタナゴ, サヨリ, スズキ, クロダイ",35.2052,139.62987,あり,なし,
長沢海岸,横須賀市長沢,神奈川県,三浦半島,"シロギス, カレイ, メバル, カサゴ, アイナメ, セイゴ, クロダイ, ヒラメ",35.20732,139.6759,あり,あり,
名向崎,三浦市三崎町諸磯,神奈川県,三浦半島,"メバル, ウミタナゴ, アジ, イワシ, メジナ, クロダイ, カレイ, ハゼ",35.15325,139.62354,なし,なし,
根岸港,横浜市磯子区新磯子町,神奈川県,東京湾,"メゴチ, マハゼ, カレイ, メバル, クロダイ, スズキ",35.40228,139.63139,なし,なし,釣り禁止、立入禁止エリアあり
根府川大根・小根,小田原市根府川,神奈川県,西湘,"メジナ, イシダイ, ワカシ, ソウダガツオ, アオリイカ",35.20387,139.13097,あり,あり,
野島公園,横浜市金沢区乙舳町、平潟町,神奈川県,東京湾,"メバル, メゴチ, シロギス, マハゼ, スズキ",35.3291,139.63229,あり,あり（有料）,釣り禁止、立入禁止エリアあり
野島防波堤・青灯,横須賀市夏島町,神奈川県,東京湾,"クロダイ, メバル, アイナメ, カレイ, シロギス, スズキ",35.32193,139.64224,なし,なし,
野島防波堤・新堤,横須賀市夏島町,神奈川県,東京湾,"クロダイ, メバル, アイナメ, スズキ",35.32193,139.64224,なし,なし,
野島防波堤・ドック堤,横須賀市夏島町,神奈川県,東京湾,"クロダイ, メバル, アイナメ, スズキ",35.32193,139.64224,なし,なし,
野比海岸,横須賀市野比,神奈川県,三浦半島,"シロギス, カレイ, アイナメ, ハゼ",35.21622,139.68565,あり,あり,
旗山崎（御所ヶ崎）,横須賀市走水,神奈川県,東京湾,"メバル, カサゴ, ウミタナゴ, メゴチ, シロギス,カレイ",35.25944,139.7243,あり,なし,隣の港は釣り禁止
早川港,小田原市早川,神奈川県,西湘,"ハゼ, シロギス, メゴチ, スズキ, メジナ, メバル, カサゴ, メッキ, サバ, アオリイカ",35.23613,139.13333,あり,あり（無料）,釣り禁止エリアあり
葉山一色海岸・一色堤防,三浦郡葉山町一色,神奈川県,三浦半島,"シロギス, ハゼ, メゴチ, ウミタナゴ, メバル, メジナ, クロダイ",35.26739,139.58815,あり,あり（無料）,
番場浦,足柄下郡真鶴町真鶴,神奈川県,真鶴半島,"メジナ, ムラソイ, ベラ, アオリイカ",35.15475,139.13829,なし,あり（無料）,
東扇島西公園,川崎市川崎区東扇島,神奈川県,東京湾,"シロギス, カレイ, アナゴ, メバル, アイナメ, カサゴ, ウミタナゴ, セイゴ, メジナ, シリヤケイカ",35.49643,139.75507,あり,あり（有料）,
引地川河口,藤沢市鵠沼海岸,神奈川県,湘南,"スズキ, マハゼ, シロギス, メゴチ, ヒラメ",35.31586,139.47437,あり,あり（無料）,
平塚新港,平塚市千石河岸,神奈川県,湘南,"ハゼ, メゴチ, ヒイラギ, シロギス, ワカシ",35.31748,139.36409,あり,あり（有料）,夜は堤防のゲートが閉まる。港の半分は釣り禁止です
毘沙門港,三浦市南下浦町毘沙門,神奈川県,三浦半島,"メバル, ウミタナゴ, メジナ, クロダイ, マハゼ, シロギス, メゴチ, アオリイカ",35.14392,139.64714,あり,あり（無料）,地図下部の短い堤防は立入禁止
深浦湾,横須賀市浦郷町,神奈川県,東京湾,"メゴチ, カレイ, マハゼ, メバル, ムラソイ, カサゴ",35.30591,139.63922,あり,あり（有料） 600円,立入禁止エリアあり
福浦岸壁,横浜市金沢区福浦,神奈川県,東京湾,"メバル, カサゴ, ムラソイ, ウミタナゴ, アナゴ, カレイ, メジナ, スズキ",35.35316,139.65033,あり,なし,
福浦港,足柄下郡湯河原町福浦,神奈川県,真鶴半島,"ムラソイ, カサゴ, メジナ, イワシ, カマス, メゴチ, キュウセン, アオリイカ",35.15294,139.13272,あり,あり（有料） 900円,
二町谷港,三浦市白石町,神奈川県,三浦半島,"メバル, ウミタナゴ, メゴチ, マハゼ, シロギス, メジナ",35.14427,139.61497,なし,あり（無料）,立入禁止エリアあり
本牧海釣り施設,横浜市中区本牧ふ頭,神奈川県,東京湾,"アジ, イワシ, シロギス, カレイ, アイナメ, メバル, クロダイ, イシモチ, スズキ, シリヤケイカ",35.44,139.67616,あり,あり（有料）,大人900円、中学生450円、小学生300円。竿2本までなど
